61.2894 -149.624 61.8894 -149.024, construction inc
60.9173 -150.204 61.5173 -149.604, espresso &
64.6136 -147.884 65.2136 -147.284, swiftheart kennels
56.1501 -132.725 56.7501 -132.125, wrangell sentinel
64.5761 -165.62 65.1761 -165.02, club sea
60.2615 -151.548 60.8615 -150.948, salamat inc
60.8228 -150.162 61.4228 -149.562, alaska &
64.1981 -165.687 64.7981 -165.087, preschool nome
64.5445 -147.989 65.1445 -147.389, plastering &
55.9551 -159.067 56.5551 -158.467, chignik school
61.3141 -149.757 61.9141 -149.157, constr honey
61.282 -149.756 61.882 -149.156, mug-shot saloon
60.8869 -150.273 61.4869 -149.673, investment inc
60.9178 -150.164 61.5178 -149.564, kings x
64.5761 -165.62 65.1761 -165.02, noet's gravel
61.2841 -149.74 61.8841 -149.14, fisher's inc
60.8541 -150.258 61.4541 -149.658, judith a
60.8101 -150.157 61.4101 -149.557, landscaping kinley
58.9571 -135.852 59.5571 -135.252, chilkat center
61.2642 -149.753 61.8642 -149.153, harman inc
64.506 -147.835 65.106 -147.235, precasters inc
64.5411 -148.022 65.1411 -147.422, construction schreder
60.8681 -150.135 61.4681 -149.535, services llc
60.7915 -150.091 61.3915 -149.491, sourdough &
60.6301 -161.463 61.2301 -160.863, svc &
61.1121 -149.794 61.7121 -149.194, aeroworks inc
64.2331 -165.714 64.8331 -165.114, facility dept
64.5921 -148.005 65.1921 -147.405, woodshop tom's
55.0103 -131.882 55.6103 -131.282, painting jacks
58.9571 -135.852 59.5571 -135.252, weather haines
61.2841 -149.74 61.8841 -149.14, her-a-kane inc
61.2421 -150.147 61.8421 -149.547, burkeshore inc
60.8193 -150.097 61.4193 -149.497, cooley co
